post_id,post_type,likes,comments,timestamp,caption,url
3338689445747525902,static,191876,819,2024-04-04 09:26:58,"#OmBheemBush Album out now 
My current favourite 🫶🏻

@sunnymr M.R. 🙌🏻🙌🏻

#OBB 
@harshakonuganti @kk_writer1 
 @chordfatherproductions @lakshmipriyankapulavarthi @vinayaksasikumar @sreevishnu29 @preyadarshe @weirddivide @manishkumar_aayana @vijay.vardhan.100 @uvcreationsofficial @adityamusicindia",https://www.instagram.com/p/C5VaFydIIkO/
3336402749729764852,reels,746638,3571,2024-04-01 05:55:51,"A very special message from a very close friend and a very special singer.
Arijit Singh’s Moh na Laage creating lyrical waves across platforms!
Enjoy it in theatres from 5th April ! 

#Dukaan in cinemas 

Watch #DukaanTrailer 👇🏻

https://bit.ly/DukaanOfficialTrailer

#DukaanIsOpen
#Dukaan 
#MohNaLaage",https://www.instagram.com/p/C5NSJ-1R3X0/
3328438124107073032,reels,315582,583,2024-03-21 06:09:41,"Dive into the depths of melancholy with #MohNaLaage where pain finds its lyricism. 

SONG OUT NOW! 

Song out now on YouTube @musicgarageofficial 

Music streaming on all platforms- @youtubemusic , @spotifyindia @wynkmusic @applemusic @amazonmusicin @gaana @hungamamusic @jiosaavn 
#itunes 

#Dukaan in cinemas 5th April 

@soham_majumdar_
@monalithakur03

Watch #DukaanTrailer 👇🏻

https://bit.ly/DukaanOfficialTrailer

#DukaanIsOpen
#NameYourSurrogate 
#ArijitSingh 
#MohNaLaage",https://www.instagram.com/p/C4w_NbMRQYI/
3325732930900449104,reels,487475,2819,2024-03-17 12:26:16,"Pune! See you shortly.
#arijitsingh #arijitsinghlive #arijitsinghliveinconcert #liveconcert #pune",https://www.instagram.com/p/C4nYHrsI9dQ/
3322072178901451932,static,249496,1631,2024-03-12 11:11:26,"Hello Bangkok ! 
See you all on 6th April,2024 at Impact Arena.

@globalindianentertainment @heartnsoulproductions 
@tourismthailand 

#arijitsingh #arijitsinghlive #arijitsinghliveinconcert #liveconcert #thailand #bangkok #concert",https://www.instagram.com/p/C4aXwutoQSc/
3309972166861007983,static,258629,1366,2024-02-24 18:30:52,"Pune!!
See you all on 17th March 2024.

This time with a big venue, bigger experience and biggest captivating musical voyage, mesmerising visuals and top notch production..
Let’s groove together..

Book your tickets now.
Link in bio : @2bhkdinerkeyclub

@arijitsingh
@becausemenwillbemen
@kingfisherworld 
@heramb.shelke
@insider.in
@paytm
@tmtalentmanagement",https://www.instagram.com/p/C3vYiYWLixv/
3266421031756740589,reels,270051,1597,2023-12-26 16:24:35,"Behind the heartfelt cause: Arijit’s commitment to change lives - Part 2
#TheMusicPodcast #ArijitSingh #Podcast #TatwamasiFoundation",https://www.instagram.com/p/C1UqJ9Eubft/
3266407187332297464,reels,193815,704,2023-12-26 15:56:56,"Behind the heartfelt cause: Arijit’s commitment to change lives - Part 1
#TheMusicPodcast #ArijitSingh #Podcast #TatwamasiFoundation #bollywood",https://www.instagram.com/p/C1UnAfcuXL4/
3261860909697105805,reels,314528,969,2023-12-20 09:26:15,"@arijitsingh says - nurturing talent goes beyond melodies. 🎶 
#ArijitSingh #MusicSchool #MentalHealth #PhysicalHealth",https://www.instagram.com/p/C1EdTcdOn-N/
3259061513907989199,reels,565541,2719,2023-12-16 12:42:30,"Guwahati! 
This will be memorable, see you all tonight..

 #arijitsingh #arijitsinghlive #guwahati #explore #arijitsinghconcert",https://www.instagram.com/p/C06gy39oerP/
3257422403285779802,reels,192238,585,2023-12-14 06:29:04,"Dil Haareya is not just the name of @arijitsingh's latest song, but it is also what happens to us every time we listen to it! 🥹❤️",https://www.instagram.com/p/C00sGrPP4Va/
3256844771899188129,reels,412524,2477,2023-12-13 11:50:00,"Take a look at the much-anticipated 5th episode of The Music Podcast, where we bring you up close and personal with the exceptionally talented musician – Arijit Singh! 

Mark your calendars for tomorrow, 14th December, and catch the full episode exclusively on our YouTube Channel! It’s an experience you wouldn’t want to miss. Remember the routine – Like, share, subscribe, and don’t forget to leave your comments.

For updates, follow us on The Music Podcast socials!",https://www.instagram.com/p/C0yoxCFo6Oh/
3252354253911804228,reels,492546,2121,2023-12-07 06:38:17,"True love has no limits, true love is beyond borders! 💖✨
#DilHaareya Song Out Now on Saregama Music YouTube and all major streaming platforms 😍

@tanyamaniktala @danesh.razvi @viviannrichard @junoversse @dharma2pointo @saregama_official",https://www.instagram.com/p/C0irvZUJMlE/
3250961577966448279,static,383580,1960,2023-12-05 08:27:21,"Guwahati! 
See you all on 16th December,2023

Get your tickets on :
https://in.bookmyshow.com/events/arijit-singh-concert-for-harmony/ET00376418

@newsliveghy @time8news @nelivetv @rang_channel @rinikibhuyansharma 
@sevenentertainment 

#arijitsingh #arijitsinghlive #arijitsinghliveinconcert #liveconcert #concerts  #guwahati",https://www.instagram.com/p/C0dvFSxIi6X/
3238805958841041532,reels,193426,1122,2023-11-18 13:58:16,"Stage is set Abu Dhabi. 
See you soon.

#arijitsingh #arijitsinghlive #arijitsinghliveinconcert 
#liveconcert #concerts  #abudhabi #etihadarena",https://www.instagram.com/p/CzyjNwRI4J8/
3237359676905606641,static,275806,1174,2023-11-16 14:02:48,"Abu Dhabi! 
See you all on 18th November, 2023

@pmeworld @meteoradevelopers @wizcraftglobal @burj.mayfair @pme.pass @visitabudhabi  @yasisland @kadakfm @etihadarena.ae 

#pmeworld #pmeentertainment #arijitsingh #arijitsinghlive #arijitsinghliveinconcert 
#liveconcert #concerts  #abudhabi #etihadarena",https://www.instagram.com/p/CztaXlQIc3x/
3235920859430445986,static,183634,1146,2023-11-14 14:24:08,"Nepal ! 
See you all on 25th November, 2023

@garage_entertainment_nepal @mnproductionsnepal 

#arijitsingh #arijitsinghlive #arijitsinghliveinconcert #arijitsinghliveinnepal
#khalti #garageent #mnproduction
#liveconcert #concerts",https://www.instagram.com/p/CzoTOCDoOOi/
3227482902851800350,static,178159,869,2023-11-02 22:59:25,"Chandigarh! 
See you all on 4th November, 2023

@tarish_entertainment @homelandgroup @plpbinfra @hsbc_in @m2magicmoments @carlsbergindia",https://www.instagram.com/p/CzKUpmnIM0e/
3212066328045752283,static,830859,3302,2023-10-12 16:29:26,"Kickstarting the much-awaited #INDvPAK clash with a special performance! 🎵 

Brace yourselves for a mesmerising musical special ft. Arijit Singh at the largest cricket ground in the world- The Narendra Modi Stadium! 🏟️

Join the pre-match show on 14th October starting at 12:30 PM 🎤 

#CWC23 | @arijitsingh",https://www.instagram.com/p/CyTjU6eKQ_b/
3202309750983256161,reels,184522,391,2023-09-29 05:27:08,"One week to go for the launch of ‘Khufiya’! 🎉 But the excitement begins now with ‘Dil Dushman.’ It’s more than just a song; it’s a cinematic masterpiece that unravels the essence of the film.

Watch and enjoy this musical journey that sets the stage for what’s to come! 🕵️‍♂️🎬 #DilDushman #MusicVideo #KhufiyaOnNetflix #VBMusic

@vishalrbhardwaj @gulzaronline @arijitsingh @debarpito @niladri_kumar @abbeyroadstudios @vbfilmsofficial @tabutiful @alifazal9 @wamiqagabbi @ashishvidyarthi1 badhon_hq @netflix_in 

#AmarBhushan @kafkafka24 @farhadcine @teepeedom @sreekarprasa @currypuccasharma @rekha_bhardwaj @abhaydattsharma @beautybyradhika @radhikadhas #khufiyaonnetflix #dildushman",https://www.instagram.com/p/Cxw48CAIGhh/
3201054149280078854,reels,150611,454,2023-09-27 11:52:07,"In case you were undercover, the ‘Khufiya’ title track #DilDushman has emerged from the shadows, and it’s the musical secret you’ve been waiting to uncover! 🕵️🎶

Listen and watch out for the secrets that’ll whistle their way to your heart! 😉🔍 #WhistlingNow #DilDushman #VBMusic #KhufiyaOnNetflix
.
:
.
.

#newrelease #newmusicalert #netflixmusic #netflixandchill #newtunes #filmmusic #instagood #instadaily #musictrends #vbfilms #netflixindia

@vishalrbhardwaj @gulzaronline @arijitsingh @debarpito @niladri_kumar @rekha_bhardwaj @vbfilmsofficial",https://www.instagram.com/p/CxsbcnyoRwG/
